Country,Rather_not_Say,Unemployed,Less_than_twentyK,twentyK_fortyK,fortyK_sixtyK,sixtyK_eightyK,eightyK_hundredK,hundredK_HtwentyK,HtwentyK_HfortyK,HfortyK_HsixtyK,More_than_HsixtyK
Afghanistan,0,0,4,4,0,0,1,0,2,1,4
Albania,0,0,2,1,1,1,1,0,0,0,0
Algeria,2,5,3,2,0,0,0,0,0,1,1
Andorra,1,0,0,0,0,0,0,0,0,0,0
Antigua & Deps,1,0,1,0,0,0,0,0,0,0,0
Argentina,14,12,52,31,7,3,1,3,1,0,0
Armenia,4,1,37,10,3,1,0,0,0,0,0
Australia,64,28,24,37,93,91,75,41,27,14,18
Austria,50,18,20,33,52,20,11,3,3,0,0
Azerbaijan,1,0,2,3,0,0,0,0,0,0,0
Bahrain,1,1,0,2,0,0,1,1,0,0,0
Bangladesh,4,4,26,5,2,0,1,0,0,0,0
Barbados,0,0,1,0,0,0,0,0,0,0,0
Belarus,7,1,25,11,2,0,2,0,0,0,0
Belgium,42,29,12,53,32,14,4,9,2,3,1
Bhutan,0,0,1,0,0,0,0,0,0,0,0
Bolivia,1,0,2,0,1,0,0,0,0,0,0
Bosnia Herzegovina,1,3,10,1,1,0,1,0,0,0,0
Botswana,0,0,1,0,0,0,0,0,0,0,0
Brazil,29,27,100,77,24,17,9,0,1,0,3
Bulgaria,12,9,30,24,7,0,1,0,0,0,0
Cambodia,1,1,4,0,0,0,0,0,0,0,0
Cameroon,0,1,1,0,0,0,0,0,0,0,0
Canada,71,66,50,70,113,125,89,51,23,4,16
Chile,3,3,13,12,5,1,0,1,0,0,1
China,15,21,44,50,26,2,2,4,2,4,2
Colombia,1,4,17,5,5,1,1,0,0,0,1
Costa Rica,1,0,6,10,1,1,0,0,0,0,0
Croatia,8,10,16,11,2,3,0,0,0,0,1
Cuba,2,0,2,0,0,0,0,0,0,0,0
Cyprus,0,1,4,4,0,1,0,0,0,0,0
Czech Republic,27,29,52,42,20,3,1,4,1,1,0
Denmark,42,23,21,7,31,36,23,18,5,4,8
Dominican Republic,0,1,5,1,0,0,2,0,0,0,0
Ecuador,2,0,1,1,1,0,0,0,0,0,0
Egypt,3,4,34,7,0,2,0,0,0,0,0
El Salvador,0,0,3,0,0,0,0,0,0,0,0
Estonia,8,9,11,7,3,1,1,0,0,0,0
Ethiopia,1,1,3,0,0,0,0,0,0,0,0
Finland,20,17,15,28,52,38,5,0,0,0,0
France,58,72,64,145,142,72,28,13,5,2,1
Gabon,0,0,1,0,0,1,0,0,0,0,0
Georgia,1,3,14,4,0,1,0,0,0,0,0
Germany,281,135,211,137,275,208,84,53,14,12,13
Ghana,0,1,1,0,0,1,1,0,0,0,0
Greece,13,17,43,28,12,1,0,1,0,0,0
Guatemala,1,0,5,2,0,2,0,0,0,0,0
Honduras,1,0,5,0,0,0,0,0,0,0,1
Hungary,27,16,43,31,11,0,0,1,1,0,0
Iceland,3,3,1,0,1,1,1,1,0,0,0
India,227,159,954,159,38,24,10,3,3,3,12
Indonesia,12,14,46,6,0,2,0,0,0,0,0
Iran,22,22,83,27,8,1,1,4,0,0,0
Ireland {Republic},19,23,10,24,28,19,15,10,6,0,2
Israel,32,12,9,17,20,21,13,11,3,3,3
Italy,42,67,70,120,47,19,9,2,1,1,0
Jamaica,0,2,1,0,0,0,0,0,0,0,0
Japan,7,3,2,13,6,9,4,2,1,0,1
Jordan,1,3,4,3,0,0,0,0,0,0,0
Kazakhstan,0,1,8,5,1,0,0,0,0,0,0
Kenya,3,0,7,4,0,0,0,0,0,0,0
Korea North,1,0,0,0,0,0,0,0,0,0,0
Korea South,10,12,5,16,13,7,3,0,0,0,0
Kosovo,0,0,2,0,0,0,0,0,0,0,0
Kuwait,1,1,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,1,1,1,0,0,0,0,0,0,0
Laos,0,0,0,0,0,2,0,0,0,0,0
Latvia,4,3,21,14,3,0,2,0,0,0,0
Lebanon,4,2,5,5,0,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0,1,0,0,0,0
Lithuania,7,4,23,10,6,0,1,0,0,0,1
Luxembourg,0,2,0,0,0,2,0,0,0,0,0
Macedonia,3,3,9,4,1,0,0,0,0,0,0
Madagascar,1,1,1,0,0,0,0,0,0,0,0
Malaysia,5,7,23,11,6,0,2,0,0,0,0
Malta,1,2,3,5,1,1,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,2,0,0,0,0,0,0,0,0
