Country,Count
Afghanistan,48
Albania,17
Algeria,30
Andorra,4
Angola,6
Antigua & Deps,9
Argentina,156
Armenia,84
Australia,618
Austria,300
Azerbaijan,7
Bahamas,2
Bahrain,9
Bangladesh,50
Barbados,3
Belarus,70
Belgium,263
Benin,1
Bhutan,2
Bolivia,7
Bosnia Herzegovina,21
Botswana,1
Brazil,367
Brunei,2
Bulgaria,103
Burkina,1
Cambodia,17
Cameroon,4
Canada,828
Chile,52
China,252
Colombia,41
Congo,1
Costa Rica,23
Croatia,68
Cuba,6
Cyprus,16
Czech Republic,243
Denmark,278
Djibouti,1
Dominican Republic,9
Ecuador,7
Egypt,71
El Salvador,5
Estonia,51
Ethiopia,7
Finland,242
France,776
Gabon,3
Georgia,27
Germany,1976
Ghana,4
Greece,152
Guatemala,12
Haiti,2
Honduras,10
Hungary,169
Iceland,16
India,2461
Indonesia,102
Iran,264
Iraq,3
Ireland,193
Israel,192
Italy,506
Jamaica,5
Japan,63
Jordan,18
Kazakhstan,23
Kenya,20
Korea North,3
Korea South,97
Kosovo,2
Kuwait,3
Kyrgyzstan,7
Laos,3
Latvia,63
Lebanon,21
Liechtenstein,1
Lithuania,75
Luxembourg,9
Macedonia,27
Madagascar,4
Malaysia,70
Maldives,4
Malta,17
Mauritania,1
Mauritius,5
Mexico,179
Moldova,18
Mongolia,6
Montenegro,3
Morocco,22
Mozambique,1
Myanmar,13
Namibia,2
Nepal,29
Netherlands,614
New Zealand,160
Nicaragua,8
Nigeria,19
Norway,163
Oman,2
Other,5
Pakistan,121
Panama,7
Paraguay,7
Peru,31
Philippines,97
Poland,833
Portugal,224
Qatar,8
Romania,185
Russia,650
Rwanda,1
San Marino,1
Saudi Arabia,27
Senegal,1
Serbia,101
Sierra Leone,1
Singapore,70
Slovakia,68
Slovenia,80
Solomon Islands,1
Somalia,2
South Africa,128
South Sudan,1
Spain,605
Sri Lanka,61
Sudan,4
Swaziland,3
Sweden,540
Switzerland,393
Syria,8
Taiwan,55
Tajikistan,1
Tanzania,2
Thailand,58
Togo,1
Trinidad & Tobago,5
Tunisia,22
Turkey,220
Turkmenistan,2
Uganda,5
Ukraine,222
United Arab Emirates,44
United Kingdom,2403
United States,4745
Uruguay,47
Uzbekistan,7
Vanuatu,1
Vatican City,1
Venezuela,33
Vietnam,84
Zambia,1
Zimbabwe,5
